UserID,SatisfactionScore,Feedback,RecommendToFriend
1,4,Too few matches in my area,No
2,7,Too few matches in my area,No
3,6,"Love the UI, very smooth",No
4,1,Great for long-term connections,Yes
5,3,Not many active users nearby,No
6,3,"Love the UI, very smooth",Yes
7,6,Not many active users nearby,No
8,4,"Matches are relevant, premium worth it",No
9,7,Great for long-term connections,Yes
10,9,Great for long-term connections,No
11,9,Great for long-term connections,No
12,6,Too few matches in my area,No
13,3,"Love the UI, very smooth",Yes
14,3,Too few matches in my area,No
15,4,"Love the UI, very smooth",No
16,6,Not many active users nearby,No
17,5,Great for long-term connections,Yes
18,4,Not many active users nearby,Yes
19,6,"Matches are relevant, premium worth it",No
20,3,Too few matches in my area,No
21,9,"Matches are relevant, premium worth it",No
22,5,"Matches are relevant, premium worth it",Yes
23,1,Not many active users nearby,No
24,3,Great for long-term connections,Yes
25,4,"Love the UI, very smooth",No
26,5,"Love the UI, very smooth",Yes
27,9,Not many active users nearby,No
28,1,Too few matches in my area,Yes
29,4,"Matches are relevant, premium worth it",Yes
30,4,Great for long-term connections,No
31,5,"Matches are relevant, premium worth it",No
32,4,Great for long-term connections,Yes
33,5,"Love the UI, very smooth",No
34,6,"Love the UI, very smooth",Yes
35,1,Not many active users nearby,Yes
36,4,Not many active users nearby,No
37,5,Not many active users nearby,Yes
38,3,"Love the UI, very smooth",Yes
39,7,"Matches are relevant, premium worth it",Yes
40,5,"Love the UI, very smooth",Yes
41,8,Too few matches in my area,No
42,8,"Love the UI, very smooth",Yes
43,9,"Matches are relevant, premium worth it",Yes
44,3,"Love the UI, very smooth",No
45,6,Not many active users nearby,No
46,5,Great for long-term connections,Yes
47,1,"Love the UI, very smooth",Yes
48,8,Too few matches in my area,No
49,9,"Matches are relevant, premium worth it",No
50,6,Not many active users nearby,Yes
51,5,Not many active users nearby,No
52,3,"Matches are relevant, premium worth it",No
53,8,"Love the UI, very smooth",No
54,8,Not many active users nearby,Yes
55,6,Too few matches in my area,Yes
56,7,Too few matches in my area,Yes
57,2,Great for long-term connections,Yes
58,5,"Love the UI, very smooth",Yes
59,5,Too few matches in my area,No
60,2,Not many active users nearby,No
61,4,Not many active users nearby,Yes
62,9,Great for long-term connections,Yes
63,7,"Love the UI, very smooth",No
64,3,Too few matches in my area,Yes
65,8,"Matches are relevant, premium worth it",Yes
66,8,Great for long-term connections,Yes
67,4,"Matches are relevant, premium worth it",No
68,4,Too few matches in my area,No
69,6,Not many active users nearby,No
70,9,Not many active users nearby,No
71,8,Too few matches in my area,No
72,6,Too few matches in my area,No
73,8,Great for long-term connections,No
74,6,Too few matches in my area,No
75,4,Too few matches in my area,Yes
76,8,"Love the UI, very smooth",Yes
77,2,Not many active users nearby,No
78,7,Too few matches in my area,No
79,7,"Love the UI, very smooth",Yes
80,3,Not many active users nearby,Yes
81,6,"Love the UI, very smooth",No
82,3,Not many active users nearby,No
83,7,"Love the UI, very smooth",No
84,8,Not many active users nearby,Yes
85,1,"Matches are relevant, premium worth it",No
86,4,"Love the UI, very smooth",Yes
87,9,Too few matches in my area,Yes
88,2,Too few matches in my area,Yes
89,8,Not many active users nearby,No
90,2,Great for long-term connections,Yes
91,8,"Matches are relevant, premium worth it",No
92,5,Great for long-term connections,No
93,8,Not many active users nearby,No
94,7,"Matches are relevant, premium worth it",No
95,7,"Love the UI, very smooth",Yes
96,4,Too few matches in my area,No
97,8,"Love the UI, very smooth",No
98,7,Great for long-term connections,Yes
99,5,"Matches are relevant, premium worth it",Yes
100,8,Too few matches in my area,Yes
